brand,name,price_old,price_new,seller,rating,number_rating,frete_gratis,full,entrega_rapida,entrega_mesmo_dia,desconto,percentual_desconto
CERAVE,Loção hidratante Com Ácido Hialurônico 473ml Cerave,124.0,65.0,Por CeraVe ,4.9,33114.0,False,True,False,False,59.0,47.6
KÉRASTASE,Máscara Capilar Chronologiste Intense Régénérant 200ml Kérastase,519.0,310.0,Por Kerastase ,4.8,248.0,True,True,False,False,209.0,40.3
LA ROCHE-POSAY,Protetor Anthelios Airlicium Sem Cor Fps 80 Antioleosidade 40g La Roche-posay,104.0,59.0,Por La Roche Posay ,4.8,10616.0,False,True,False,False,45.0,43.3
TCL,Smart Tv Led 32'' S5400af Full Hd Android Tv Tcl 127/220v,1439.0,1005.0,Por TCL ,4.7,11351.0,False,True,True,False,434.0,30.2
KÉRASTASE,Óleo Kérastase L'huile Rose Elixir Ultime 100ml,394.0,202.0,Por Kerastase ,4.8,2074.0,False,True,True,False,192.0,48.7
KÉRASTASE,Shampoo Kérastase Genesis Bain Hydra-fortifiant 250ml,234.0,128.0,Por Kerastase ,4.8,706.0,False,True,True,False,106.0,45.3
LA ROCHE-POSAY,Sérum Antimanchas Mela B3 30ml La Roche Posay,294.0,166.0,Por La Roche Posay ,4.5,836.0,False,True,True,False,128.0,43.5
WAP,Parafusadeira E Furadeira De Impacto 3/8  Wap K21 Id02 2000 Mah Bivolt,413.0,219.0,Por Ismafer Ferramentas ,4.7,15771.0,False,True,True,False,194.0,47.0
BOTAFOGO LAR & LAZER,Escada De Alumínio Multifuncional 4 X 4 16 Degraus Botafogo Lar & Lazer Esc0293,579.0,494.0,Por Mercado Livre ,4.7,2292.0,True,True,False,False,85.0,14.7
LA ROCHE-POSAY,Creme Multirreparador Cicaplast Baume B5+ 40ml La Roche-posay,96.0,60.0,Por La Roche Posay ,4.9,5326.0,False,True,True,False,36.0,37.5
WAP,Lavadora De Alta Pressão Wap Atacama Smart Com Potência De 1400w 1500psi 127v,449.0,319.0,Por Mercado Livre ,4.7,1705.0,True,True,False,False,130.0,29.0
PERFECT,Esfregão Mop Perfect Balde Inox + 3 Refil + Cabo Longo,253.0,149.0,Por Ismafer Ferramentas ,4.8,8092.0,False,False,True,False,104.0,41.1
BOTAFOGO LAR & LAZER,Escada De Alumínio Multifuncional 4 X 3 Com 12 Degraus 13 Em 1 Botafogo Lar & Lazer Esc0292 Cinza,529.0,423.0,Por Mercado Livre ,4.7,1573.0,True,True,False,False,106.0,20.0
KÉRASTASE,Nutritive Masquintense Máscara Kérastase,354.0,212.0,Por Kerastase ,4.8,456.0,False,True,True,False,142.0,40.1
WAP,Lavadora De Alta Pressão Wap Atacama Smart Com Potência De 1400w 1500psi 220v,449.0,329.0,vendedor não identificado,4.7,1705.0,True,True,False,False,120.0,26.7
ABSOLUT,Kit 10 Cuecas Box Boxer Microfibra Original Qualidade,72.0,66.0,vendedor não identificado,4.4,42049.0,False,True,False,False,6.0,8.3
WAP,"Lavadora De Alta Pressão Wap Extreme Turbo 2800, 2450psi, Motor De Indução, 1900w, 220v",1399.0,1133.0,Por Mercado Livre ,4.8,2472.0,False,True,True,False,266.0,19.0
JBL,Caixa De Som Bluetooth Jbl Partybox Club 110/220v Preto - 160w,2999.0,2022.0,vendedor não identificado,4.8,1118.0,True,True,False,False,977.0,32.6
POLO WEAR,Kit 12 Cuecas Masculinas Boxer Polo Wear,227.0,132.0,Por Polo Wear ,4.4,34535.0,False,True,True,False,95.0,41.9
KÉRASTASE,Shampoo Kérastase Résistance - Bain Thérapiste 250ml Full,234.0,136.0,Por Kerastase ,4.9,328.0,False,True,True,False,98.0,41.9
TCL,Smart Tv Tcl 55c655 55  4k Qled,3349.0,2374.0,Por Mercado Livre ,4.8,1602.0,True,True,False,False,975.0,29.1
PHILIPS,Smart Tv Philips 50 4k 50pug7019 Google Tv Comando De Voz,2749.0,2111.0,Por Mercado Livre ,4.7,1697.0,True,True,False,False,638.0,23.2
KÉRASTASE,Elixir Ultime L´huile Originale Óleo Capilar 30ml Kérastase,199.0,128.0,Por Kerastase ,4.7,307.0,False,True,True,False,71.0,35.7
LA ROCHE-POSAY,Gel De Limpeza Facial Effaclar 300g La Roche Posay,109.0,61.0,Por La Roche Posay ,4.9,7599.0,False,True,True,False,48.0,44.0
INSIDER,Daily T-shirt Insider,139.0,99.0,Por Insider ,4.7,5234.0,False,False,False,False,40.0,28.8
AIWA,Caixa De Som Boombox Plus Aiwa Bbs-01-lbl 200w Bluetooth 30h Ip66 Usb Rgb,2299.0,1799.0,Por Mercado Livre ,4.8,750.0,True,True,False,False,500.0,21.7
PERFECT PRO,Balde Esfregão Perfect Mop Move 3 Refis Com Roda E Alça Cor Cinza,261.0,164.0,Por Ismafer Ferramentas ,4.8,7601.0,False,True,True,False,97.0,37.2
THE BLACK TOOLS,Jogo De Soquetes Encaixe 1/2'' 22 Peças Maleta Completo Cor Amarelo,261.0,159.0,Por Ismafer Ferramentas ,4.8,372.0,False,False,True,False,102.0,39.1
TRAMONTINA,Caixa De Ferramentas Sanfonada Tramontina 7 Gavetas Azul,175.0,155.0,Por Mercado Livre ,4.9,2311.0,True,True,False,False,20.0,11.4
KÉRASTASE,Densifique Bain Densité Shampoo 250ml | Kérastase,234.0,136.0,Por Kerastase ,4.8,586.0,False,True,True,False,98.0,41.9
THE BLACK TOOLS,Parafusadeira E Furadeira De Impacto 3/8 The Black Tools Tb21-pz Com 2 Baterias Bivolt E Acessorios,369.0,219.0,Por Ismafer Ferramentas ,4.7,388.0,False,False,True,False,150.0,40.7
TRAMONTINA,Lavadora De Alta Pressão Master Doméstica Jato Regulável 1500psi Com 1200w Amarelo E Preto Tramontina 220v,609.0,323.0,Por Mercado Livre ,4.8,5022.0,True,True,False,False,286.0,47.0
TERMOLAR,Caixa Termica Suv Cooler Com Alça 20 Litros Praia Pesca Camping Cor Preto E Amarelo Termolar,92.0,58.0,Por Ismafer Ferramentas ,4.8,5498.0,False,False,True,False,34.0,37.0
LA ROCHE-POSAY,La Roche Posay Hyalu B5 Sérum Facial Antirrugas Ácido Hialurônico Tratamento Antienvelhecimento Para Peles Sensíveis 30ml,279.0,139.0,Por La Roche Posay ,4.8,1912.0,True,True,False,False,140.0,50.2
GORILLAZ,"Torquímetro Estalo Click Para Soquete 1/2 Pol 28-210 Nm 2,8 A 21kg Ajustável Com Estojo Gorillaz",199.0,119.0,Por Ismafer Ferramentas ,4.6,1440.0,False,False,True,False,80.0,40.2
VERONNA,Bebedouro Refrigerado Eletrônico Veronna Be200 Bivolt Agua Gelada Cor Branco 110v/220v,613.0,388.0,Por Ismafer Ferramentas ,4.3,294.0,False,True,True,False,225.0,36.7
LA ROCHE-POSAY,Protetor Solar Corporal Anthelios Fps50 200ml La Roche-posay,142.0,78.0,Por La Roche Posay ,4.9,49.0,False,True,True,False,64.0,45.1
GENÉRICO,Kit 4 Camisas Polo Masculina Linha Exclusiva,214.0,122.0,vendedor não identificado,,,False,False,True,False,92.0,43.0
